"id","title","link","description","image_link","blog","tags","date","df_grouping_id"
"article_614623674707","Wat eten goudvissen in een vijver?","https://vijvercentrum.nl/blogs/voeding-voer/wat-eten-goudvissen-in-een-vijver","Goudvissen in een vijver eten van alles: speciaal vijvervoer, maar ook natuurlijk voedsel zoals algen, waterplanten, insectenlarven, muggenlarven, watervlooien en wormen. Het zijn alleseters. In een ingerichte vijver met planten halen ze een deel van hun voeding zelf uit het water. Voer je bij, kies dan drijvend goudvis- of vijvervoer en stem de hoeveelheid af op de watertemperatuur. Hieronder lees je precies wat goudvissen eten en hoe je ze gezond houdt. Laatst bijgewerkt: 25 juni 2026 door Kees Wat eten goudvissen van nature in een vijver? Goudvissen zijn omnivoren en vinden in een gezonde v","","Voeding & Voer","goudvis voeren/goudvissen/vijvervissen/vijvervoer/voeding","2026-06-25T10:05:13Z","article"
"article_613608194387","Nisai, Sansai, Yonsai: Wat Betekenen de Japanse Leeftijdsnamen van Koi?","https://vijvercentrum.nl/blogs/koi-soorten/nisai-sansai-yonsai-wat-betekenen-de-japanse-leeftijdsnamen-van-koi","Leer wat nisai, sansai en yonsai betekenen: Japanse leeftijdsnamen voor koi van 2, 3 en 4 jaar. Met groeicijfers, kooptips en praktijkadvies.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/ee9967d7e9ae16ac57ef4a5e05d9eec1.jpg?v=1773062080","Koi Soorten","koi soorten","2026-06-25T09:00:00Z","article"
"article_613529583955","Bekko Koi: De Elegante en Minimalistische Japanse Koi","https://vijvercentrum.nl/blogs/koi-soorten/bekko-koi-de-elegante-en-minimalistische-japanse-koi","De Bekko Koi is een geliefde Japanse koi-soort die vooral gewaardeerd wordt om zijn eenvoudige en minimalistische patroon. Het woord “Bekko” betekent “schildpad” in het Japans, wat verwijst naar de karakteristieke zwarte vlekken die deze koi over zijn witte, rode of gele lichaam verspreid heeft. Door zijn rustige, subtiele uitstraling en het gebrek aan complexe patronen is de Bekko Koi een populaire keuze voor zowel beginners als ervaren koi-liefhebbers. In dit artikel ontdek je alles over de Bekko Koi: zijn geschiedenis, kenmerken, verschillende variëteiten en hoe je deze elegante vis het bes","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/bekko-koi-de-elegante-en-minimalistische-japanse-koi.webp?v=1772304010","Koi Soorten","Aka Bekko/Bekko Koi/Japanse Koi/Ki Bekko/Koi Soorten &amp; Variëteiten/Shiro Bekko","2026-06-25T09:00:00Z","article"
"article_614931300691","Mini vijver maken: terras, ton, balkon en kant-en-klaar (2026)","https://vijvercentrum.nl/blogs/vijver-aanleggen/mini-vijver-maken-terras-ton-balkon-en-kant-en-klaar","Een mini vijver maak je door een waterdichte bak, ton of voorgevormde kuip te kiezen, die waterpas op een stevige ondergrond in halfschaduw te plaatsen en in te richten met waterplanten en eventueel een klein pompje. Kies een volume van minstens 60 liter: in een kleiner volume schommelt de temperatuur te sterk en wordt het water snel troebel. Je vult de bak met water, laat dit een paar dagen ontgassen en plaatst dan een combinatie van een drijfplant, een zuurstofplant onder water en een moerasplant aan de rand. Een plantenvijver zonder vissen heeft geen pomp nodig; voor stromend water of een p","","Vijver Aanleggen","mini vijver/terrasvijver/vijver-aanleggen","2026-06-25T08:38:45Z","article"
"article_614922322259","Zwemvijver aanleggen: stappenplan, kosten, zones en filtratie 2026","https://vijvercentrum.nl/blogs/vijver-aanleggen/zwemvijver-aanleggen-stappenplan-kosten-zones-en-filtratie","Een zwemvijver leg je aan door een diepe zwemzone te combineren met een ondiepe plantenzone die het water op natuurlijke wijze zuivert, zonder chloor. De plantenzone is meestal ongeveer even groot als de zwemzone en houdt het water helder door voedingsstoffen op te nemen. Je graaft de vijver uit, kleedt hem af met EPDM-folie, legt de zwem- en plantzones aan, plaatst een rustige circulatiepomp met skimmer en eventueel een biofilter, en plant de zuiverende beplanting. Daarna laat je het systeem enkele weken inwerken. Volgens algemene richtlijnen voor de aanleg van natuurlijke zwemvijvers vraagt ","","Vijver Aanleggen","","2026-06-25T08:38:45Z","article"
"article_614868353363","Doorstroomfilter vijver: werking, kiezen en onderhoud 2026","https://vijvercentrum.nl/blogs/filtratie-techniek/doorstroomfilter-vijver-werking-kiezen-en-onderhoud","Een doorstroomfilter (ook wel zwaartekracht- of meerkamerfilter) is een open vijverfilter waar het water onder vrije val doorheen stroomt. De vijverpomp duwt water naar de bovenkant van het filter, het zakt door achtereenvolgende kamers met mechanisch en biologisch filtermateriaal, en loopt via zwaartekracht schoon terug naar de vijver. Je kiest een doorstroomfilter wanneer je een gemiddelde tot grote vijver hebt (vanaf circa 5.000 liter) en ruim filtervolume met eenvoudig onderhoud wilt. Voor kleine vijvers tot 5.000 liter is een drukfilter compacter; voor zwaar bezette koivijvers is een door","","Filtratie & Techniek","doorstroomfilter/filtratie/keuzehulp/vijverfilter","2026-06-25T08:38:45Z","article"
"article_614861308243","Vijverplanten: welke kies je voor een heldere, gezonde vijver","https://vijvercentrum.nl/blogs/vijver-aanleggen/vijverplanten-welke-kiezen-voor-een-heldere-gezonde-vijver","In het kort Voor een heldere, gezonde vijver kies je planten uit vier groepen: zuurstofplanten (onderwaterplanten), drijfplanten, waterlelies en oever- of moerasplanten. De vuistregel is om 30 tot 50 procent van het wateroppervlak te beplanten. Planten nemen voedingsstoffen op die anders algen voeden, en geven schaduw en zuurstof. Volgens algemene richtlijnen voor vijverbeplanting houdt een goed beplante vijver het nitraat- en fosfaatgehalte merkbaar lager, waardoor draadalg en groen water minder kans krijgen. ""Planten zijn het goedkoopste filter dat je kunt kopen, ze werken dag en nacht en ko","","Vijver Aanleggen","helder water/vijver aanleggen/vijverplanten/waterplanten/zuurstofplanten","2026-06-25T08:38:45Z","article"
"article_614622986579","Hoe maak je een terrasvijver of vijver in een ton?","https://vijvercentrum.nl/blogs/vijver-aanleggen/terrasvijver-vijver-in-een-ton-maken","In het kort: terrasvijver in een ton maken Laatst bijgewerkt: 25 juni 2026 door Phoebe Kies een waterdichte bak of houten ton van minstens 60 liter. Zet hem waterpas op een stevige ondergrond in halfschaduw (4 tot 6 uur zon). Bekleed een houten ton vanbinnen met EPDM-vijverfolie. Combineer een drijf-, zuurstof- en moerasplant in mandjes met vijvergrond. Een pomp of filter heb je alleen nodig bij vissen of stromend water. Een terrasvijver in een ton is de voordeligste manier om met water te beginnen: voor de bak en folie blijf je meestal onder de 100 euro. Volgens algemene richtlijnen voor klei","","Vijver Aanleggen","howto/minivijver/terrasvijver/vijver aanleggen/vijver in een ton","2026-06-25T08:18:45Z","article"
"article_613601902931","Koi Quarantainebak Inrichten: De Complete Handleiding","https://vijvercentrum.nl/blogs/koi-gezondheid-verzorging/koi-quarantainebak-inrichten-de-complete-handleiding","Leer stap voor stap een koi quarantainebak inrichten. Met concrete maten, waterwaarden, apparatuur en een bewezen protocol van 4-6 weken.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/blue-quarantine-tub-with-air-pump-and-net-next-to-a-koi-pond-ibc-container-setup-dutch-garden-background-with-flat-polder-landscape-daylight-photorealistic.png?v=1776950289","Koi Gezondheid & Verzorging","koi gezondheid","2026-06-25T07:06:14Z","article"
"article_613603246419","Luchtstenen en Beluchtingssystemen: Welke Kies Je voor Maximale Zuurstof?","https://vijvercentrum.nl/blogs/filtratie-techniek/luchtstenen-en-beluchtingssystemen-welke-kies-je-voor-maximale-zuurstof","Kies de juiste luchtstenen en luchtpomp voor jouw vijver. Praktische tips over plaatsing, capaciteit en seizoensaanpassingen voor maximale zuurstof.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/air-stones-bubbling-in-a-koi-pond-oxygen-bubbles-rising-from-pond-bottom-air-pump-aeration-system-clear-water-with-koi-fish-dutch-garden-buxus-hedges-photorealistic-no-people-no-text.png?v=1774531103","Filtratie & Techniek","filtratie techniek","2026-06-25T04:13:34Z","article"
"article_613602591059","Ammoniak in de Vijver: Herkennen, Meten en Direct Verlagen","https://vijvercentrum.nl/blogs/waterkwaliteit/ammoniak-in-de-vijver-herkennen-meten-en-direct-verlagen","Ammoniak in je vijver? Leer de grenswaarden, meet het correct en verlaag het direct met ons 4-stappenplan. Bescherm je koi vandaag nog.","","Waterkwaliteit","waterkwaliteit","2026-06-25T01:06:55Z","article"
"article_613602918739","Watertemperatuur en Koi: De Ideale Waarden per Seizoen","https://vijvercentrum.nl/blogs/waterkwaliteit/watertemperatuur-en-koi-de-ideale-waarden-per-seizoen","Leer welke watertemperatuur koi nodig hebben per seizoen. Van winterrust tot zomerhitte: voertijden, meetwaarden en praktische tips voor gezonde koi.","","Waterkwaliteit","waterkwaliteit","2026-06-24T22:06:14Z","article"
"article_614623281491","Blauwalg in de vijver: herkennen en veilig bestrijden","https://vijvercentrum.nl/blogs/waterkwaliteit/blauwalg-in-de-vijver-herkennen-bestrijden","Blauwalg herken je aan een blauwgroene, soms olieachtige laag op het wateroppervlak die naar muf gras of mest ruikt. Je bestrijdt het veilig door de oorzaak aan te pakken: minder voedingsstoffen, meer beweging en zuurstof, en schaduw of waterplanten. Blauwalg is geen gewone alg maar een bacterie die giftig kan zijn voor mens en dier. Houd huisdieren en kinderen er daarom weg. Hieronder lees je hoe je het herkent en stap voor stap aanpakt. In het kort: blauwalg herkennen en aanpakken Laatst bijgewerkt: 24 juni 2026 door Kees Blauwalg is een cyanobacterie, geen gewone alg, en kan giftig zijn voo","","Waterkwaliteit","bestrijden/blauwalg/cyanobacterie/herkennen/kennis/veiligheid/vijver/waterkwaliteit","2026-06-24T09:00:00Z","article"
"article_613529387347","Sanke Koi: Een Kleurrijke Japanse Koi voor Elke Vijverliefhebber","https://vijvercentrum.nl/blogs/koi-soorten/sanke-koi-een-kleurrijke-japanse-koi-voor-elke-vijverliefhebber","De Sanke Koi, ook bekend als Taisho Sanke, is een van de meest populaire en herkenbare Japanse koi-soorten ter wereld. Met zijn unieke mix van wit, rood en zwarte patronen, voegt deze koi een levendig kleurenspel toe aan elke koi-vijver. Of je nu een beginner bent in de koi-hobby of al jarenlange ervaring hebt, de Sanke Koi is een fascinerende vis die schoonheid en diversiteit brengt. In dit artikel duiken we dieper in de geschiedenis, de kenmerken en de juiste verzorging van de Sanke Koi om ervoor te zorgen dat je optimaal van deze kleurrijke koi kunt genieten.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/sanke-koi-een-kleurrijke-japanse-koi-voor-elke-vijverliefhebber.webp?v=1772304002","Koi Soorten","Japanse Koi/Koi Soorten &amp; Variëteiten/Rode en zwarte patronen/Sanke Koi/Taisho Sanke/Wit lichaam","2026-06-24T09:00:00Z","article"
"article_613531484499","Tosai: Alles wat je moet weten over deze jonge Koi","https://vijvercentrum.nl/blogs/koi-soorten/tosai-alles-wat-je-moet-weten-over-deze-jonge-koi","Tosai zijn jonge Koi van één jaar oud (vaak ook “yearlings” genoemd) die net uit hun eerste groeijaar komen. Veel liefhebbers staan te popelen om zulke jonge pareltjes in hun vijver te verwelkomen, omdat Tosai zich nog volop ontwikkelen in kleur, patroon en lichaamsbouw. Tegelijkertijd gaat er een wereld van kennis schuil achter deze “jonge koi”: van selecties door Japanse kwekers tot de ideale waterwaarden bij jou thuis. In dit artikel ontdek je hoe Tosai opgroeien, wat je kunt verwachten van hun groeipotentieel, en hoe je ze de beste zorg geeft. Ook lees je waarom de showroom van A2KOI (met ","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/tosai-alles-wat-je-moet-weten-over-deze-jonge-koi.webp?v=1772304115","Koi Soorten","jonge Koi/Koi/Koi Soorten &amp; Variëteiten/pH/Tosai/variëteiten","2026-06-24T07:00:00Z","article"
"article_613529420115","Showa Koi: Een Krachtige Japanse Koi met Drie Kleuren voor Elke Vijverliefhebber","https://vijvercentrum.nl/blogs/koi-soorten/showa-koi-een-krachtige-japanse-koi-met-drie-kleuren-voor-elke-vijverliefhebber","De Showa Koi, ook wel bekend als Showa Sanshoku, is een opvallende Japanse koi-soort met een unieke combinatie van zwart, rood en wit. Deze krachtige kleuren en complexe patronen maken de Showa tot een ware blikvanger in elke koi-vijver. Of je nu een beginnende koi-liefhebber bent of al jaren ervaring hebt, de Showa Koi biedt schoonheid, karakter en een fascinerende geschiedenis. In dit artikel ontdek je alles over de Showa Koi, van zijn oorsprong en kenmerken tot tips voor verzorging, zodat jouw Showa gezond en stralend blijft.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/showa-koi-een-krachtige-japanse-koi-met-drie-kleuren-voor-elke-vijverliefhebber.webp?v=1772304003","Koi Soorten","Japanse Koi/Koi Soorten &amp; Variëteiten/Sanke Koi/Showa Koi/sumi/witte patronen/zwart lichaam","2026-06-23T22:05:30Z","article"
"article_614621577555","Welke vijverpomp heb ik nodig voor mijn vijver?","https://vijvercentrum.nl/blogs/filtratie-techniek/welke-vijverpomp-heb-ik-nodig-keuzehulp","Je wilt een vijverpomp kopen, maar het aanbod is groot en de getallen op de doos zeggen weinig. Het korte antwoord: de juiste pomp verplaatst minstens een keer je vijvervolume per uur, past bij je filtertype en draait zuinig. In deze keuzehulp reken je in drie stappen uit welke pomp bij jouw vijver past, met concrete voorbeelden en de fouten die we het vaakst zien. Een te kleine of verkeerd gekozen vijverpomp is volgens algemene dimensioneringsrichtlijnen voor koivijverfiltratie de meest voorkomende oorzaak van onvoldoende filterdoorstroming en blijvend troebel water. Een moderne borstelloze D","","Filtratie & Techniek","debiet/energiezuinig/keuzehulp/koivijver/siervijver/vijverpomp","2026-06-23T09:00:00Z","article"
"article_613529944403","De Ultieme Gids voor Kristalhelder Water in Je Japanse Koivijver","https://vijvercentrum.nl/blogs/waterkwaliteit/de-ultieme-gids-voor-kristalhelder-water-in-je-japanse-koivijver","Kristalhelder water in koivijver is de droom van iedere liefhebber van Japanse koi. Met de juiste waterparameters, een goed filtersysteem en een doordachte vijverinrichting creëer je een omgeving waarin je vissen optimaal kunnen groeien. In deze gids lees je alles over het meten van waterwaarden, het belang van biologische en mechanische filtratie, en manieren om je vijver op natuurlijke wijze te zuiveren.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/de-ultieme-gids-voor-kristalhelder-water-in-je-japanse-koivijver.webp?v=1772304031","Waterkwaliteit","Japanse koi/Japanse koivijver/karbonate hardheid/Koi/koivijver/kristalhelder water/mechanische filtratie/pH/totale hardheid/Vijveronderhoud &amp; Advies/vijververwarming/waterkwaliteit/Waterkwaliteit &amp; Filtratie/Waterkwaliteit testen/waterparameters","2026-06-23T09:00:00Z","article"
"article_613529354579","Kohaku Koi: De Koning van de Japanse Koi voor Elke Koi-Liefhebber","https://vijvercentrum.nl/blogs/koi-soorten/kohaku-koi-de-koning-van-de-japanse-koi-voor-elke-koi-liefhebber","De Kohaku Koi is een van de meest iconische en populaire koi-soorten binnen de wereld van Japanse koi. Met zijn zuiver witte lichaam en diep rode patronen staat de Kohaku bekend als de ‘koning’ onder de koi. Deze klassieke uitstraling maakt hem een gewilde toevoeging aan elke koi-vijver. In dit artikel vertellen we je alles over de unieke kenmerken van de Kohaku, de geschiedenis, en geven we je waardevolle verzorgingstips om jouw Kohaku gezond en stralend te houden. Of je nu een beginnende koi-hobbyist bent of een ervaren koi-liefhebber, de Kohaku Koi biedt tijdloze schoonheid en elegantie.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/kohaku-koi-de-koning-van-de-japanse-koi-voor-elke-koi-liefhebber.webp?v=1772304001","Koi Soorten","Japanse Koi/Kohaku kenmerken/Kohaku Koi/Koi/Koi Soorten &amp; Variëteiten/soorten","2026-06-23T07:00:00Z","article"
"article_614625247571","Welke waterlelie kies je en hoe plant je hem?","https://vijvercentrum.nl/blogs/vijveronderhoud/waterlelie-kiezen-en-planten","In het kort: Kies een waterlelie die past bij de diepte van je vijver en geef hem minimaal 5 tot 6 uur direct zonlicht per dag, anders blijft de bloei uit. Een dwergwaterlelie hoort op 20 tot 40 cm water boven de mand, een middelsterk groeiende soort op 40 tot 60 cm en een sterk groeiende soort op 60 tot 100 cm. Plant tussen april en juni, zodra het water boven 10 tot 12 graden is, in zware kleigrond zonder gewone potgrond (die laat los en vertroebelt het water). Laat de bladeren maximaal een derde van het wateroppervlak bedekken, zodat er genoeg zuurstof en licht in het water blijft. ""Een wat","","Vijveronderhoud","planten/vijveraanleg/vijveronderhoud/waterlelie/waterplanten","2026-06-23T06:16:02Z","article"
"article_613603869011","Reigerbestrijding: Effectieve en Diervriendelijke Methoden","https://vijvercentrum.nl/blogs/vijveronderhoud/reigerbestrijding-effectieve-en-diervriendelijke-methoden","Bescherm je vijvervissen tegen reigers met bewezen methoden. Ontdek welke combinatie van netten, sensoren en beplanting echt werkt.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/grey-heron-standing-near-a-garden-pond-with-a-protective-net-stretched-over-the-water-koi-visible-beneath-dutch-garden-with-buxus-hedges-and-brick-path-animal-friendly-deterrent-photo.png?v=1774537888","Vijveronderhoud","vijveronderhoud","2026-06-23T06:16:01Z","article"
"article_614621806931","Welke luchtpomp heb ik nodig voor mijn vijver?","https://vijvercentrum.nl/blogs/filtratie-techniek/welke-luchtpomp-heb-ik-nodig-keuzehulp","De luchtpomp die je nodig hebt, hangt af van de grootte van je vijver en het aantal vissen. Als vuistregel reken je op ongeveer 0,5 tot 1 liter lucht per minuut per 1000 liter vijverwater. Voor een gemiddelde koivijver van 5000 liter kies je dus een luchtpomp van 5 tot 10 liter per minuut. Heb je veel koi of een warme zomer, neem dan ruim. In deze keuzehulp loop je stap voor stap naar de juiste pomp. Waarom heb je een luchtpomp in je vijver nodig? Een luchtpomp brengt zuurstof in het water. Vissen, bacterien in je filter en afbraakprocessen verbruiken voortdurend zuurstof. Vooral in de zomer e","","Filtratie & Techniek","beluchting/keuzehulp/koivijver/luchtpomp/vijver/zuurstof","2026-06-22T06:19:30Z","article"
"article_613603410259","Skimmer voor de Vijver: Typen, Installatie en Onderhoud","https://vijvercentrum.nl/blogs/filtratie-techniek/skimmer-voor-de-vijver-typen-installatie-en-onderhoud","Vijverskimmer kiezen, installeren en onderhouden? Leer welk type bij jouw vijver past en houd je wateroppervlak het hele jaar schoon.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/pond-skimmer-installed-at-the-edge-of-a-koi-pond-clean-water-surface-leaves-floating-nearby-dutch-garden-with-buxus-hedges-brick-edging-photorealistic-no-people-no-text.png?v=1774529549","Filtratie & Techniek","filtratie techniek","2026-06-21T09:00:00Z","article"
"article_613607637331","Beekloop Aanleggen: Stromend Water van Vijver naar Vijver","https://vijvercentrum.nl/blogs/vijver-aanleggen/beekloop-aanleggen-stromend-water-van-vijver-naar-vijver","Beekloop aanleggen tussen twee vijvers? Compleet stappenplan met pompkeuze, folie-tips en veelgemaakte fouten. Praktijkadvies van vijverspecialisten.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/beekloop-aanleggen-stromend-water-van-vijver-naar-vijver-zonder-mensen.png?v=1774086243","Vijver Aanleggen","vijver aanleggen","2026-06-21T07:30:00Z","article"
"article_613531550035","Waterwaarden stabiliseren: de rol van GH in helder voorjaarswater","https://vijvercentrum.nl/blogs/waterkwaliteit/waterwaarden-stabiliseren-de-rol-van-gh-in-helder-voorjaarswater","GH helder voorjaarswater is essentieel voor het succesvol opstarten van je koivijver in de lente. Terwijl veel aandacht uitgaat naar pH en KH, speelt de GH-waarde een minstens zo grote rol in het stabiliseren van de waterkwaliteit en het ondersteunen van gezonde groei, kleur en weerstand bij je koi. In dit uitgebreide achtergrondartikel ontdek je de impact van GH op helder voorjaarswater, ondersteund door wetenschappelijke inzichten, praktijkervaring en tips voor de juiste toepassing in jouw vijver.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/waterwaarden-stabiliseren-de-rol-van-gh-in-helder-voorjaarswater.webp?v=1772304118","Waterkwaliteit","Gezonde koi/GH/helder water/KH/Koi/pH/totale hardheid/vijver/vijverwater/Waterkwaliteit &amp; Filtratie/waterwaarden/zoek","2026-06-21T07:30:00Z","article"
"article_613605769555","Redoxpotentiaal (ORP) Meten: Een Geavanceerde Kijk op Waterkwaliteit","https://vijvercentrum.nl/blogs/waterkwaliteit/redoxpotentiaal-orp-meten-een-geavanceerde-kijk-op-waterkwaliteit","Leer hoe je de redoxpotentiaal (ORP) in je koivijver meet, welke waarden gezond zijn (150-300 mV) en hoe je ingrijpt bij afwijkingen.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/dutch-garden-pond-with-clear-water-and-koi-fish-orp-water-quality-meter-probe-on-brick-edge-flat-polder-landscape-trimmed-buxus-hedges-no-people-photorealistic.png?v=1774101485","Waterkwaliteit","waterkwaliteit","2026-06-21T07:00:00Z","article"
"article_613604327763","Mannelijke vs. Vrouwelijke Koi: Zo Zie Je het Verschil","https://vijvercentrum.nl/blogs/koi-soorten/mannelijke-vs-vrouwelijke-koi-zo-zie-je-het-verschil","Leer mannelijke en vrouwelijke koi herkennen aan lichaamsbouw, vinnen, kieuwplaten en gedrag. Praktische stap-voor-stap methode met 90%+ nauwkeurigheid.","https://cdn.shopify.com/s/files/1/0998/4059/0163/articles/c5bbff9b38c860424b597907f8b432eb_e712898b-1f0c-4e7a-a04c-9a5c37f0c1ed.jpg?v=1773062100","Koi Soorten","koi soorten","2026-06-21T07:00:00Z","article"
